# time passed	number of events	moving average
9592.5	248.0	236.7787333854574
9600.0	246.0	236.7859375
9607.5	241.0	236.78922716627633
9615.0	267.0	236.81279251170048
9622.5	214.0	236.7950116913484
9630.0	216.0	236.77881619937693
9637.5	241.0	236.78210116731518
9645.0	247.0	236.7900466562986
9652.5	221.0	236.77777777777777
9660.0	247.0	236.78571428571428
9667.5	225.0	236.7765709852599
9675.0	249.0	236.78604651162792
9682.5	240.0	236.78853601859024
9690.0	276.0	236.8188854489164
9697.5	258.0	236.8352668213457
9705.0	251.0	236.84621329211745
9712.5	250.0	236.85637065637064
9720.0	233.0	236.8533950617284
9727.5	230.0	236.84811102544333
9735.0	253.0	236.86055469953774
9742.5	241.0	236.86374133949192
9750.0	239.0	236.8653846153846
9757.5	229.0	236.85933897002306
9765.0	230.0	236.85407066052227
9772.5	205.0	236.8296239447429
9780.0	248.0	236.83819018404907
9787.5	241.0	236.84137931034482
9795.0	245.0	236.84762633996937
9802.5	255.0	236.86151491966336
9810.0	218.0	236.84709480122325
9817.5	242.0	236.85103132161956
9825.0	239.0	236.8526717557252
9832.5	240.0	236.85507246376812
9840.0	259.0	236.8719512195122
9847.5	257.0	236.8872810357959
9855.0	208.0	236.86529680365297
9862.5	236.0	236.86463878326995
9870.0	253.0	236.87689969604864
9877.5	214.0	236.85952923310555
9885.0	254.0	236.87253414264038
9892.5	253.0	236.8847611827142
9900.0	260.0	236.90227272727273
9907.5	228.0	236.89553368660106
9915.0	225.0	236.88653555219364
9922.5	252.0	236.89795918367346
9930.0	229.0	236.89199395770393
9937.5	217.0	236.87698113207549
9945.0	239.0	236.8785822021116
9952.5	238.0	236.87942727957798
9960.0	230.0	236.8742469879518
9967.5	235.0	236.87283671933784
9975.0	238.0	236.8736842105263
9982.5	237.0	236.87377911344853
9990.0	228.0	236.86711711711712
9997.5	210.0	236.84696174043512
10005.0	246.0	236.85382308845578
10012.5	231.0	236.8494382022472
10020.0	255.0	236.8630239520958
10027.5	234.0	236.86088257292445
10035.0	245.0	236.86696562032884
10042.5	223.0	236.85660941000748
10050.0	232.0	236.85298507462687
10057.5	242.0	236.85682326621924
10065.0	227.0	236.849478390462
10072.5	265.0	236.8704393149665
10080.0	231.0	236.86607142857142
10087.5	247.0	236.87360594795538
10095.0	218.0	236.85958395245171
10102.5	257.0	236.87453600593912
10110.0	241.0	236.87759643916914
10117.5	239.0	236.87916975537436
10125.0	240.0	236.88148148148147
10132.5	230.0	236.8763878608438
10140.0	245.0	236.88239644970415
10147.5	260.0	236.89948263118995
10155.0	230.0	236.8943870014771
10162.5	249.0	236.90332103321032
10170.0	237.0	236.90339233038347
10177.5	234.0	236.90125276344878
10185.0	248.0	236.90942562592048
10192.5	223.0	236.8991905813098
10200.0	233.0	236.89632352941177
10207.5	229.0	236.8905216752388
10215.0	244.0	236.89574155653452
10222.5	234.0	236.89361702127658
10230.0	240.0	236.8958944281525
10237.5	242.0	236.8996336996337
10245.0	237.0	236.89970717423134
10252.5	253.0	236.91148500365765
10260.0	233.0	236.90862573099415
10267.5	237.0	236.90869247626006
10275.0	232.0	236.90510948905109
10282.5	208.0	236.8840262582057
10290.0	270.0	236.90816326530611
10297.5	237.0	236.90823015294976
10305.0	262.0	236.92649199417758
10312.5	247.0	236.93381818181817
10320.0	242.0	236.9375
10327.5	249.0	236.94625998547568
10335.0	204.0	236.92235123367198
10342.5	254.0	236.93473531544598
10350.0	222.0	236.92391304347825
10357.5	268.0	236.94641564083997
10365.0	218.0	236.93270622286542
10372.5	222.0	236.92190889370931
10380.0	232.0	236.91835260115607
10387.5	257.0	236.93285198555958
10395.0	240.0	236.93506493506493
10402.5	242.0	236.93871665465034
10410.0	231.0	236.9344380403458
10417.5	243.0	236.93880489560834
10425.0	228.0	236.93237410071941
10432.5	220.0	236.92020129403306
10440.0	233.0	236.91738505747125
10447.5	243.0	236.92175161521897
10455.0	250.0	236.93113342898135
10462.5	223.0	236.921146953405
10470.0	244.0	236.926217765043
10477.5	264.0	236.94559770937724
10485.0	213.0	236.92846924177397
10492.5	235.0	236.92709077912795
10500.0	246.0	236.93357142857144
10507.5	236.0	236.93290506780872
10515.0	231.0	236.92867332382312
10522.5	246.0	236.9351389878831
10530.0	210.0	236.91595441595442
10537.5	223.0	236.90604982206406
10545.0	233.0	236.90327169274536
10552.5	225.0	236.8948116560057
10560.0	249.0	236.9034090909091
10567.5	266.0	236.92405961674947
10575.0	201.0	236.89858156028367
10582.5	242.0	236.90219702338766
10590.0	216.0	236.8873937677054
10597.5	246.0	236.89384288747345
10605.0	249.0	236.9024045261669
10612.5	260.0	236.91872791519435
10620.0	246.0	236.92514124293785
10627.5	264.0	236.9442484121383
10635.0	240.0	236.94640338504936
10642.5	244.0	236.95137420718817
10650.0	221.0	236.94014084507043
10657.5	243.0	236.94440534834624
10665.0	215.0	236.92897327707453
10672.5	292.0	236.96767392832044
10680.0	265.0	236.9873595505618
10687.5	229.0	236.9817543859649
10695.0	245.0	236.9873772791024
10702.5	256.0	237.00070077084794
10710.0	212.0	236.98319327731093
10717.5	204.0	236.96011196641007
10725.0	256.0	236.97342657342656
10732.5	242.0	236.9769392033543
10740.0	222.0	236.96648044692736
10747.5	249.0	236.97487787857642
10755.0	213.0	236.9581589958159
10762.5	232.0	236.9547038327526
10770.0	223.0	236.9449860724234
10777.5	233.0	236.94224077940154
10785.0	243.0	236.94645340751043
10792.5	274.0	236.97220291869354
10800.0	232.0	236.96875
10807.5	220.0	236.95697432338653
10815.0	239.0	236.95839112343967
10822.5	216.0	236.94386694386694
10830.0	250.0	236.9529085872576
10837.5	230.0	236.94809688581316
10845.0	241.0	236.9508990318119
10852.5	229.0	236.94540428472703
10860.0	211.0	236.92748618784532
10867.5	212.0	236.91028295376123
10875.0	212.0	236.89310344827587
10882.5	262.0	236.9104066161268
10890.0	246.0	236.91666666666666
10897.5	239.0	236.91810048176188
10905.0	222.0	236.90784044016507
10912.5	234.0	236.90584192439863
10920.0	210.0	236.88736263736263
10927.5	229.0	236.88194921070692
10935.0	263.0	236.89986282578874
10942.5	226.0	236.89239204934887
10950.0	251.0	236.90205479452055
10957.5	239.0	236.9034907597536
10965.0	245.0	236.9090287277702
10972.5	234.0	236.90704032809296
10980.0	249.0	236.9153005464481
10987.5	255.0	236.92764505119453
10995.0	232.0	236.9242837653479
11002.5	225.0	236.91615541922292
11010.0	214.0	236.90054495912807
11017.5	244.0	236.90537780803268
11025.0	235.0	236.90408163265306
11032.5	219.0	236.89191026512577
11040.0	226.0	236.88451086956522
11047.5	232.0	236.88119484046163
11055.0	261.0	236.8975576662144
11062.5	245.0	236.90305084745762
11070.0	213.0	236.88685636856368
11077.5	230.0	236.88219363574814
11085.0	262.0	236.89918809201623
11092.5	239.0	236.90060851926978
11100.0	228.0	236.8945945945946
11107.5	252.0	236.90479405806886
11115.0	224.0	236.8960863697706
11122.5	242.0	236.8995279838166
11130.0	230.0	236.89487870619945
11137.5	249.0	236.9030303030303
11145.0	225.0	236.8950201884253
11152.5	259.0	236.90988567585742
11160.0	255.0	236.9220430107527
11167.5	255.0	236.9341840161182
11175.0	248.0	236.94161073825504
11182.5	230.0	236.93695506371563
11190.0	234.0	236.93498659517425
11197.5	226.0	236.92766242464836
11205.0	240.0	236.929718875502
11212.5	220.0	236.91839464882943
11220.0	220.0	236.90708556149733
11227.5	249.0	236.91516366065466
11235.0	251.0	236.9245660881175
11242.5	211.0	236.9072715143429
11250.0	254.0	236.91866666666667
11257.5	246.0	236.92471685542972
11265.0	241.0	236.92743009320907
11272.5	245.0	236.93280106453759
11280.0	229.0	236.9275265957447
11287.5	230.0	236.92292358803988
11295.0	238.0	236.92363877822046
11302.5	238.0	236.92435301924354
11310.0	227.0	236.91777188328913
11317.5	224.0	236.909211398277
11325.0	217.0	236.89602649006622
11332.5	244.0	236.9007279947055
11340.0	218.0	236.88822751322752
11347.5	267.0	236.9081295439524
11355.0	258.0	236.9220607661823
11362.5	261.0	236.93795379537954
11370.0	237.0	236.93799472295515
11377.5	215.0	236.92353328938694
11385.0	236.0	236.92292490118578
11392.5	216.0	236.90915075707701
11400.0	253.0	236.91973684210527
11407.5	249.0	236.9276791584484
11415.0	240.0	236.92969776609723
11422.5	241.0	236.93237032173343
11430.0	233.0	236.9297900262467
11437.5	241.0	236.93245901639344
11445.0	238.0	236.93315858453474
11452.5	262.0	236.94957432874918
11460.0	267.0	236.96924083769633
11467.5	251.0	236.97841726618705
11475.0	253.0	236.98888888888888
11482.5	217.0	236.97583278902678
11490.0	256.0	236.98825065274153
11497.5	234.0	236.986301369863
11505.0	245.0	236.9915254237288
11512.5	259.0	237.0058631921824
11520.0	217.0	236.99283854166666
11527.5	247.0	236.99934938191282
11535.0	263.0	237.01625487646294
11542.5	235.0	237.01494476933073
11550.0	245.0	237.02012987012986
11557.5	219.0	237.00843608046722
11565.0	262.0	237.02464332036317
11572.5	234.0	237.02268308489954
11580.0	250.0	237.03108808290156
11587.5	220.0	237.02006472491908
11595.0	250.0	237.02846054333764
11602.5	236.0	237.0277957336781
11610.0	249.0	237.03552971576227
11617.5	258.0	237.04906391220143
